target_throughput,1,average,median
5000,4990.26897549777,4990.27,4990.26897549777
10000,9964.12913511359,9964.13,9964.12913511359
15000,14918.6931224824,14918.7,14918.6931224824
20000,16528.9256198347,16528.9,16528.9256198347
25000,16409.5831965868,16409.6,16409.5831965868
