target_throughput,1,average,median
5000,4994.75550671794,4994.76,4994.75550671794
10000,9980.03992015968,9980.04,9980.03992015968
15000,14954.3891132047,14954.4,14954.3891132047
20000,19904.4585987261,19904.5,19904.4585987261
25000,24875.6218905472,24875.6,24875.6218905472
30000,29815.1460942158,29815.1,29815.1460942158
35000,34340.6593406593,34340.7,34340.6593406593
40000,34698.1263011797,34698.1,34698.1263011797
