target_throughput,1,average,median
5000,420.41,420.41,420.41
10000,607.136,607.136,607.136
15000,1105.58,1105.58,1105.58
20000,1205.51,1205.51,1205.51
25000,1197.79,1197.79,1197.79
30000,1196.03,1196.03,1196.03
35000,1198.34,1198.34,1198.34
40000,1203.24,1203.24,1203.24
