target_throughput,1,average,median
5000,4990.26897549777,4990.27,4990.26897549777
10000,9964.12913511359,9964.13,9964.12913511359
15000,14920.9191286183,14920.9,14920.9191286183
20000,18491.124260355,18491.1,18491.124260355
25000,18484.2883548983,18484.3,18484.2883548983
