target_throughput,1,average,median
5000,4990.26897549777,4990.27,4990.26897549777
10000,9964.12913511359,9964.13,9964.12913511359
15000,13269.6390658174,13269.6,13269.6390658174
20000,13264.3586682583,13264.4,13264.3586682583
25000,13123.3595800524,13123.4,13123.3595800524
