target_throughput,1,average,median
5000,4993.50843902926,4993.51,4993.50843902926
10000,9976.05746209098,9976.06,9976.05746209098
15000,14956.6257852228,14956.6,14956.6257852228
20000,16498.9275697079,16498.9,16498.9275697079
25000,16594.7560570859,16594.8,16594.7560570859
30000,16627.868307283,16627.9,16627.868307283
35000,16589.2501658925,16589.3,16589.2501658925
40000,16526.1940175177,16526.2,16526.1940175177
